day,weekday,month,is_hoilday,weather,mean_temp,y,section,hour
2020-06-04,4,6,0,多云,24,104,Sta55-Sta65,7
2020-06-05,5,6,0,多云,27,93,Sta55-Sta65,7
2020-06-06,6,6,1,阴,25,48,Sta55-Sta65,7
2020-06-07,7,6,1,阵雨,25,49,Sta55-Sta65,7
2020-06-08,1,6,1,阵雨,22,97,Sta55-Sta65,7
2020-06-09,2,6,1,多云,25,107,Sta55-Sta65,7
2020-06-10,3,6,0,多云,24,106,Sta55-Sta65,7
2020-06-11,4,6,0,阴,25,104,Sta55-Sta65,7
2020-06-12,5,6,0,阴,27,102,Sta55-Sta65,7
2020-06-13,6,6,1,阵雨,27,56,Sta55-Sta65,7
2020-06-14,7,6,1,多云,27,62,Sta55-Sta65,7
2020-06-15,1,6,0,多云,26,103,Sta55-Sta65,7
2020-06-16,2,6,0,小雨,24,110,Sta55-Sta65,7
2020-06-17,3,6,0,小雨,24,98,Sta55-Sta65,7
2020-06-18,4,6,0,多云,26,102,Sta55-Sta65,7
2020-06-19,5,6,0,多云,25,104,Sta55-Sta65,7
2020-06-20,6,6,1,阵雨,24,67,Sta55-Sta65,7
2020-06-21,7,6,1,阵雨,24,55,Sta55-Sta65,7
2020-06-22,1,6,0,阵雨,25,101,Sta55-Sta65,7
2020-06-23,2,6,0,阵雨,26,106,Sta55-Sta65,7
2020-06-24,3,6,0,晴,28,108,Sta55-Sta65,7
2020-06-25,4,6,0,多云,28,59,Sta55-Sta65,7
2020-06-26,5,6,0,阵雨,25,56,Sta55-Sta65,7
2020-06-27,6,6,1,阵雨,25,43,Sta55-Sta65,7
2020-06-28,7,6,1,阴,27,105,Sta55-Sta65,7
2020-06-29,1,6,0,多云,27,110,Sta55-Sta65,7
2020-06-30,2,6,0,多云,28,94,Sta55-Sta65,7
2020-07-01,3,7,0,暴雨,24,33,Sta55-Sta65,7
2020-07-02,4,7,0,多云,27,66,Sta55-Sta65,7
2020-07-03,5,7,0,多云,27,75,Sta55-Sta65,7
2020-07-04,6,7,1,阵雨,25,51,Sta55-Sta65,7
2020-07-05,7,7,1,阴,26,48,Sta55-Sta65,7
2020-07-06,1,7,0,阴,26,86,Sta55-Sta65,7
2020-07-07,2,7,0,多云,28,77,Sta55-Sta65,7
2020-07-08,3,7,0,阵雨,28,82,Sta55-Sta65,7
2020-07-09,4,7,0,阵雨,27,91,Sta55-Sta65,7
2020-07-10,5,7,0,阵雨,23,100,Sta55-Sta65,7
2020-07-11,6,7,1,阴,25,46,Sta55-Sta65,7
2020-07-12,7,7,1,多云,26,57,Sta55-Sta65,7
2020-07-13,1,7,0,阵雨,26,94,Sta55-Sta65,7
2020-07-14,2,7,0,小雨,27,89,Sta55-Sta65,7
2020-07-15,3,7,0,大雨,25,80,Sta55-Sta65,7
2020-07-16,4,7,0,阵雨,25,89,Sta55-Sta65,7
2020-07-17,5,7,0,阴,28,0,Sta55-Sta65,7
2020-07-18,6,7,1,阵雨,27,0,Sta55-Sta65,7
2020-07-19,7,7,1,多云,27,0,Sta55-Sta65,7
2020-07-20,1,7,0,阴,24,0,Sta55-Sta65,7
2020-07-21,2,7,0,阵雨,22,0,Sta55-Sta65,7
2020-07-22,3,7,0,阵雨,25,0,Sta55-Sta65,7
2020-07-23,4,7,0,阵雨,26,0,Sta55-Sta65,7
2020-05-01,5,5,1,多云,24,57,Sta65-Sta49,7
2020-05-02,6,5,1,晴,26,47,Sta65-Sta49,7
2020-05-03,7,5,1,多云,27,58,Sta65-Sta49,7
2020-05-04,1,5,1,多云,26,59,Sta65-Sta49,7
2020-05-05,2,5,0,多云,26,62,Sta65-Sta49,7
2020-05-06,3,5,0,多云,25,98,Sta65-Sta49,7
2020-05-07,4,5,0,中雨,23,115,Sta65-Sta49,7
2020-05-08,5,5,0,阴,21,108,Sta65-Sta49,7
2020-05-09,6,5,1,多云,19,97,Sta65-Sta49,7
2020-05-10,7,5,1,多云,22,56,Sta65-Sta49,7
2020-05-11,1,5,0,多云,21,123,Sta65-Sta49,7
2020-05-12,2,5,0,阴,20,116,Sta65-Sta49,7
2020-05-13,3,5,0,多云,20,105,Sta65-Sta49,7
2020-05-14,4,5,0,多云,22,110,Sta65-Sta49,7
2020-05-15,5,5,0,多云,24,111,Sta65-Sta49,7
2020-05-16,6,5,1,多云,25,46,Sta65-Sta49,7
2020-05-17,7,5,1,晴,27,57,Sta65-Sta49,7
2020-05-18,1,5,0,多云,27,102,Sta65-Sta49,7
2020-05-19,2,5,0,多云,25,118,Sta65-Sta49,7
2020-05-20,3,5,0,多云,24,106,Sta65-Sta49,7
2020-05-21,4,5,0,小雨,22,117,Sta65-Sta49,7
2020-05-22,5,5,0,阴,25,134,Sta65-Sta49,7
2020-05-23,6,5,1,多云,25,65,Sta65-Sta49,7
2020-05-24,7,5,1,小雨,18,48,Sta65-Sta49,7
2020-05-25,1,5,0,阴,21,120,Sta65-Sta49,7
2020-05-26,2,5,0,阴,21,98,Sta65-Sta49,7
2020-05-27,3,5,0,阴,19,112,Sta65-Sta49,7
2020-05-28,4,5,0,多云,20,99,Sta65-Sta49,7
2020-05-29,5,5,0,晴,23,109,Sta65-Sta49,7
2020-05-30,6,5,1,多云,24,78,Sta65-Sta49,7
2020-05-31,7,5,1,多云,25,47,Sta65-Sta49,7
2020-06-01,1,6,0,阵雨,23,114,Sta65-Sta49,7
2020-06-02,2,6,0,多云,21,115,Sta65-Sta49,7
2020-06-03,3,6,0,多云,23,101,Sta65-Sta49,7
2020-06-04,4,6,0,多云,24,116,Sta65-Sta49,7
2020-06-05,5,6,0,多云,27,104,Sta65-Sta49,7
2020-06-06,6,6,1,阴,25,59,Sta65-Sta49,7
2020-06-07,7,6,1,阵雨,25,54,Sta65-Sta49,7
2020-06-08,1,6,1,阵雨,22,112,Sta65-Sta49,7
2020-06-09,2,6,1,多云,25,114,Sta65-Sta49,7
2020-06-10,3,6,0,多云,24,120,Sta65-Sta49,7
2020-06-11,4,6,0,阴,25,120,Sta65-Sta49,7
2020-06-12,5,6,0,阴,27,116,Sta65-Sta49,7
2020-06-13,6,6,1,阵雨,27,67,Sta65-Sta49,7
2020-06-14,7,6,1,多云,27,67,Sta65-Sta49,7
2020-06-15,1,6,0,多云,26,121,Sta65-Sta49,7
2020-06-16,2,6,0,小雨,24,121,Sta65-Sta49,7
2020-06-17,3,6,0,小雨,24,104,Sta65-Sta49,7
2020-06-18,4,6,0,多云,26,119,Sta65-Sta49,7
2020-06-19,5,6,0,多云,25,123,Sta65-Sta49,7
2020-06-20,6,6,1,阵雨,24,75,Sta65-Sta49,7
2020-06-21,7,6,1,阵雨,24,59,Sta65-Sta49,7
2020-06-22,1,6,0,阵雨,25,96,Sta65-Sta49,7
2020-06-23,2,6,0,阵雨,26,117,Sta65-Sta49,7
2020-06-24,3,6,0,晴,28,119,Sta65-Sta49,7
2020-06-25,4,6,0,多云,28,65,Sta65-Sta49,7
2020-06-26,5,6,0,阵雨,25,61,Sta65-Sta49,7
2020-06-27,6,6,1,阵雨,25,48,Sta65-Sta49,7
2020-06-28,7,6,1,阴,27,121,Sta65-Sta49,7
2020-06-29,1,6,0,多云,27,126,Sta65-Sta49,7
2020-06-30,2,6,0,多云,28,105,Sta65-Sta49,7
2020-07-01,3,7,0,暴雨,24,43,Sta65-Sta49,7
2020-07-02,4,7,0,多云,27,79,Sta65-Sta49,7
2020-07-03,5,7,0,多云,27,88,Sta65-Sta49,7
2020-07-04,6,7,1,阵雨,25,56,Sta65-Sta49,7
2020-07-05,7,7,1,阴,26,56,Sta65-Sta49,7
2020-07-06,1,7,0,阴,26,100,Sta65-Sta49,7
2020-07-07,2,7,0,多云,28,88,Sta65-Sta49,7
2020-07-08,3,7,0,阵雨,28,95,Sta65-Sta49,7
2020-07-09,4,7,0,阵雨,27,101,Sta65-Sta49,7
2020-07-10,5,7,0,阵雨,23,115,Sta65-Sta49,7
2020-07-11,6,7,1,阴,25,53,Sta65-Sta49,7
2020-07-12,7,7,1,多云,26,64,Sta65-Sta49,7
2020-07-13,1,7,0,阵雨,26,106,Sta65-Sta49,7
2020-07-14,2,7,0,小雨,27,108,Sta65-Sta49,7
2020-07-15,3,7,0,大雨,25,94,Sta65-Sta49,7
2020-07-16,4,7,0,阵雨,25,103,Sta65-Sta49,7
2020-07-17,5,7,0,阴,28,0,Sta65-Sta49,7
2020-07-18,6,7,1,阵雨,27,0,Sta65-Sta49,7
2020-07-19,7,7,1,多云,27,0,Sta65-Sta49,7
2020-07-20,1,7,0,阴,24,0,Sta65-Sta49,7
2020-07-21,2,7,0,阵雨,22,0,Sta65-Sta49,7
2020-07-22,3,7,0,阵雨,25,0,Sta65-Sta49,7
2020-07-23,4,7,0,阵雨,26,0,Sta65-Sta49,7
2020-05-01,5,5,1,多云,24,69,Sta49-Sta113,7
2020-05-02,6,5,1,晴,26,54,Sta49-Sta113,7
2020-05-03,7,5,1,多云,27,68,Sta49-Sta113,7
2020-05-04,1,5,1,多云,26,63,Sta49-Sta113,7
2020-05-05,2,5,0,多云,26,70,Sta49-Sta113,7
2020-05-06,3,5,0,多云,25,109,Sta49-Sta113,7
2020-05-07,4,5,0,中雨,23,125,Sta49-Sta113,7
2020-05-08,5,5,0,阴,21,114,Sta49-Sta113,7
2020-05-09,6,5,1,多云,19,108,Sta49-Sta113,7
2020-05-10,7,5,1,多云,22,64,Sta49-Sta113,7
2020-05-11,1,5,0,多云,21,130,Sta49-Sta113,7
2020-05-12,2,5,0,阴,20,126,Sta49-Sta113,7
2020-05-13,3,5,0,多云,20,113,Sta49-Sta113,7
2020-05-14,4,5,0,多云,22,121,Sta49-Sta113,7
2020-05-15,5,5,0,多云,24,126,Sta49-Sta113,7
2020-05-16,6,5,1,多云,25,52,Sta49-Sta113,7
2020-05-17,7,5,1,晴,27,58,Sta49-Sta113,7
2020-05-18,1,5,0,多云,27,117,Sta49-Sta113,7
2020-05-19,2,5,0,多云,25,133,Sta49-Sta113,7
2020-05-20,3,5,0,多云,24,113,Sta49-Sta113,7
2020-05-21,4,5,0,小雨,22,128,Sta49-Sta113,7
2020-05-22,5,5,0,阴,25,144,Sta49-Sta113,7
2020-05-23,6,5,1,多云,25,70,Sta49-Sta113,7
2020-05-24,7,5,1,小雨,18,57,Sta49-Sta113,7
2020-05-25,1,5,0,阴,21,131,Sta49-Sta113,7
2020-05-26,2,5,0,阴,21,116,Sta49-Sta113,7
2020-05-27,3,5,0,阴,19,122,Sta49-Sta113,7
2020-05-28,4,5,0,多云,20,110,Sta49-Sta113,7
2020-05-29,5,5,0,晴,23,114,Sta49-Sta113,7
2020-05-30,6,5,1,多云,24,82,Sta49-Sta113,7
2020-05-31,7,5,1,多云,25,58,Sta49-Sta113,7
2020-06-01,1,6,0,阵雨,23,123,Sta49-Sta113,7
2020-06-02,2,6,0,多云,21,121,Sta49-Sta113,7
2020-06-03,3,6,0,多云,23,117,Sta49-Sta113,7
2020-06-04,4,6,0,多云,24,134,Sta49-Sta113,7
2020-06-05,5,6,0,多云,27,115,Sta49-Sta113,7
2020-06-06,6,6,1,阴,25,71,Sta49-Sta113,7
2020-06-07,7,6,1,阵雨,25,59,Sta49-Sta113,7
2020-06-08,1,6,1,阵雨,22,124,Sta49-Sta113,7
2020-06-09,2,6,1,多云,25,125,Sta49-Sta113,7
2020-06-10,3,6,0,多云,24,129,Sta49-Sta113,7
2020-06-11,4,6,0,阴,25,128,Sta49-Sta113,7
2020-06-12,5,6,0,阴,27,130,Sta49-Sta113,7
2020-06-13,6,6,1,阵雨,27,75,Sta49-Sta113,7
2020-06-14,7,6,1,多云,27,76,Sta49-Sta113,7
2020-06-15,1,6,0,多云,26,136,Sta49-Sta113,7
2020-06-16,2,6,0,小雨,24,132,Sta49-Sta113,7
2020-06-17,3,6,0,小雨,24,113,Sta49-Sta113,7
2020-06-18,4,6,0,多云,26,132,Sta49-Sta113,7
2020-06-19,5,6,0,多云,25,138,Sta49-Sta113,7
2020-06-20,6,6,1,阵雨,24,83,Sta49-Sta113,7
2020-06-21,7,6,1,阵雨,24,61,Sta49-Sta113,7
2020-06-22,1,6,0,阵雨,25,109,Sta49-Sta113,7
2020-06-23,2,6,0,阵雨,26,128,Sta49-Sta113,7
2020-06-24,3,6,0,晴,28,126,Sta49-Sta113,7
2020-06-25,4,6,0,多云,28,73,Sta49-Sta113,7
2020-06-26,5,6,0,阵雨,25,68,Sta49-Sta113,7
2020-06-27,6,6,1,阵雨,25,50,Sta49-Sta113,7
2020-06-28,7,6,1,阴,27,126,Sta49-Sta113,7
2020-06-29,1,6,0,多云,27,144,Sta49-Sta113,7
2020-06-30,2,6,0,多云,28,113,Sta49-Sta113,7
2020-07-01,3,7,0,暴雨,24,44,Sta49-Sta113,7
2020-07-02,4,7,0,多云,27,90,Sta49-Sta113,7
2020-07-03,5,7,0,多云,27,96,Sta49-Sta113,7
2020-07-04,6,7,1,阵雨,25,74,Sta49-Sta113,7
2020-07-05,7,7,1,阴,26,71,Sta49-Sta113,7
2020-07-06,1,7,0,阴,26,115,Sta49-Sta113,7
2020-07-07,2,7,0,多云,28,107,Sta49-Sta113,7
2020-07-08,3,7,0,阵雨,28,113,Sta49-Sta113,7
2020-07-09,4,7,0,阵雨,27,117,Sta49-Sta113,7
2020-07-10,5,7,0,阵雨,23,128,Sta49-Sta113,7
2020-07-11,6,7,1,阴,25,63,Sta49-Sta113,7
2020-07-12,7,7,1,多云,26,82,Sta49-Sta113,7
2020-07-13,1,7,0,阵雨,26,131,Sta49-Sta113,7
2020-07-14,2,7,0,小雨,27,126,Sta49-Sta113,7
2020-07-15,3,7,0,大雨,25,118,Sta49-Sta113,7
2020-07-16,4,7,0,阵雨,25,131,Sta49-Sta113,7
2020-07-17,5,7,0,阴,28,0,Sta49-Sta113,7
2020-07-18,6,7,1,阵雨,27,0,Sta49-Sta113,7
2020-07-19,7,7,1,多云,27,0,Sta49-Sta113,7
2020-07-20,1,7,0,阴,24,0,Sta49-Sta113,7
2020-07-21,2,7,0,阵雨,22,0,Sta49-Sta113,7
2020-07-22,3,7,0,阵雨,25,0,Sta49-Sta113,7
2020-07-23,4,7,0,阵雨,26,0,Sta49-Sta113,7
2020-05-01,5,5,1,多云,24,16,Sta113-Sta149,7
2020-05-02,6,5,1,晴,26,14,Sta113-Sta149,7
2020-05-03,7,5,1,多云,27,24,Sta113-Sta149,7
2020-05-04,1,5,1,多云,26,21,Sta113-Sta149,7
2020-05-05,2,5,0,多云,26,17,Sta113-Sta149,7
2020-05-06,3,5,0,多云,25,25,Sta113-Sta149,7
2020-05-07,4,5,0,中雨,23,35,Sta113-Sta149,7
2020-05-08,5,5,0,阴,21,24,Sta113-Sta149,7
2020-05-09,6,5,1,多云,19,26,Sta113-Sta149,7
2020-05-10,7,5,1,多云,22,19,Sta113-Sta149,7
2020-05-11,1,5,0,多云,21,31,Sta113-Sta149,7
2020-05-12,2,5,0,阴,20,36,Sta113-Sta149,7
2020-05-13,3,5,0,多云,20,28,Sta113-Sta149,7
2020-05-14,4,5,0,多云,22,32,Sta113-Sta149,7
2020-05-15,5,5,0,多云,24,33,Sta113-Sta149,7
2020-05-16,6,5,1,多云,25,14,Sta113-Sta149,7
2020-05-17,7,5,1,晴,27,19,Sta113-Sta149,7
2020-05-18,1,5,0,多云,27,26,Sta113-Sta149,7
2020-05-19,2,5,0,多云,25,33,Sta113-Sta149,7
2020-05-20,3,5,0,多云,24,33,Sta113-Sta149,7
2020-05-21,4,5,0,小雨,22,39,Sta113-Sta149,7
2020-05-22,5,5,0,阴,25,32,Sta113-Sta149,7
2020-05-23,6,5,1,多云,25,19,Sta113-Sta149,7
2020-05-24,7,5,1,小雨,18,11,Sta113-Sta149,7
2020-05-25,1,5,0,阴,21,43,Sta113-Sta149,7
2020-05-26,2,5,0,阴,21,29,Sta113-Sta149,7
2020-05-27,3,5,0,阴,19,33,Sta113-Sta149,7
2020-05-28,4,5,0,多云,20,34,Sta113-Sta149,7
2020-05-29,5,5,0,晴,23,27,Sta113-Sta149,7
2020-05-30,6,5,1,多云,24,20,Sta113-Sta149,7
2020-05-31,7,5,1,多云,25,17,Sta113-Sta149,7
2020-06-01,1,6,0,阵雨,23,33,Sta113-Sta149,7
2020-06-02,2,6,0,多云,21,28,Sta113-Sta149,7
2020-06-03,3,6,0,多云,23,27,Sta113-Sta149,7
2020-06-04,4,6,0,多云,24,32,Sta113-Sta149,7
2020-06-05,5,6,0,多云,27,35,Sta113-Sta149,7
2020-06-06,6,6,1,阴,25,21,Sta113-Sta149,7
2020-06-07,7,6,1,阵雨,25,13,Sta113-Sta149,7
2020-06-08,1,6,1,阵雨,22,33,Sta113-Sta149,7
2020-06-09,2,6,1,多云,25,38,Sta113-Sta149,7
2020-06-10,3,6,0,多云,24,33,Sta113-Sta149,7
2020-06-11,4,6,0,阴,25,36,Sta113-Sta149,7
2020-06-12,5,6,0,阴,27,34,Sta113-Sta149,7
2020-06-13,6,6,1,阵雨,27,26,Sta113-Sta149,7
2020-06-14,7,6,1,多云,27,18,Sta113-Sta149,7
2020-06-15,1,6,0,多云,26,32,Sta113-Sta149,7
2020-06-16,2,6,0,小雨,24,31,Sta113-Sta149,7
2020-06-17,3,6,0,小雨,24,34,Sta113-Sta149,7
2020-06-18,4,6,0,多云,26,32,Sta113-Sta149,7
2020-06-19,5,6,0,多云,25,35,Sta113-Sta149,7
2020-06-20,6,6,1,阵雨,24,33,Sta113-Sta149,7
2020-06-21,7,6,1,阵雨,24,22,Sta113-Sta149,7
2020-06-22,1,6,0,阵雨,25,26,Sta113-Sta149,7
2020-06-23,2,6,0,阵雨,26,33,Sta113-Sta149,7
2020-06-24,3,6,0,晴,28,41,Sta113-Sta149,7
2020-06-25,4,6,0,多云,28,19,Sta113-Sta149,7
2020-06-26,5,6,0,阵雨,25,18,Sta113-Sta149,7
2020-06-27,6,6,1,阵雨,25,18,Sta113-Sta149,7
2020-06-28,7,6,1,阴,27,40,Sta113-Sta149,7
2020-06-29,1,6,0,多云,27,42,Sta113-Sta149,7
2020-06-30,2,6,0,多云,28,28,Sta113-Sta149,7
2020-07-01,3,7,0,暴雨,24,17,Sta113-Sta149,7
2020-07-02,4,7,0,多云,27,23,Sta113-Sta149,7
2020-07-03,5,7,0,多云,27,26,Sta113-Sta149,7
2020-07-04,6,7,1,阵雨,25,22,Sta113-Sta149,7
2020-07-05,7,7,1,阴,26,17,Sta113-Sta149,7
2020-07-06,1,7,0,阴,26,26,Sta113-Sta149,7
2020-07-07,2,7,0,多云,28,26,Sta113-Sta149,7
2020-07-08,3,7,0,阵雨,28,28,Sta113-Sta149,7
2020-07-09,4,7,0,阵雨,27,39,Sta113-Sta149,7
2020-07-10,5,7,0,阵雨,23,31,Sta113-Sta149,7
2020-07-11,6,7,1,阴,25,10,Sta113-Sta149,7
2020-07-12,7,7,1,多云,26,26,Sta113-Sta149,7
2020-07-13,1,7,0,阵雨,26,23,Sta113-Sta149,7
2020-07-14,2,7,0,小雨,27,32,Sta113-Sta149,7
2020-07-15,3,7,0,大雨,25,28,Sta113-Sta149,7
2020-07-16,4,7,0,阵雨,25,39,Sta113-Sta149,7
2020-07-17,5,7,0,阴,28,0,Sta113-Sta149,7
2020-07-18,6,7,1,阵雨,27,0,Sta113-Sta149,7
2020-07-19,7,7,1,多云,27,0,Sta113-Sta149,7
2020-07-20,1,7,0,阴,24,0,Sta113-Sta149,7
2020-07-21,2,7,0,阵雨,22,0,Sta113-Sta149,7
2020-07-22,3,7,0,阵雨,25,0,Sta113-Sta149,7
2020-07-23,4,7,0,阵雨,26,0,Sta113-Sta149,7
2020-05-01,5,5,1,多云,24,17,Sta149-Sta74,7
2020-05-02,6,5,1,晴,26,17,Sta149-Sta74,7
2020-05-03,7,5,1,多云,27,25,Sta149-Sta74,7
2020-05-04,1,5,1,多云,26,19,Sta149-Sta74,7
2020-05-05,2,5,0,多云,26,18,Sta149-Sta74,7
2020-05-06,3,5,0,多云,25,26,Sta149-Sta74,7
2020-05-07,4,5,0,中雨,23,34,Sta149-Sta74,7
