day,weekday,month,is_hoilday,weather,mean_temp,y,section,hour
2020-05-31,7,5,1,多云,25,35,Sta1-Sta159,7
2020-06-01,1,6,0,阵雨,23,96,Sta1-Sta159,7
2020-06-02,2,6,0,多云,21,79,Sta1-Sta159,7
2020-06-03,3,6,0,多云,23,86,Sta1-Sta159,7
2020-06-04,4,6,0,多云,24,78,Sta1-Sta159,7
2020-06-05,5,6,0,多云,27,90,Sta1-Sta159,7
2020-06-06,6,6,1,阴,25,66,Sta1-Sta159,7
2020-06-07,7,6,1,阵雨,25,39,Sta1-Sta159,7
2020-06-08,1,6,1,阵雨,22,83,Sta1-Sta159,7
2020-06-09,2,6,1,多云,25,74,Sta1-Sta159,7
2020-06-10,3,6,0,多云,24,82,Sta1-Sta159,7
2020-06-11,4,6,0,阴,25,78,Sta1-Sta159,7
2020-06-12,5,6,0,阴,27,81,Sta1-Sta159,7
2020-06-13,6,6,1,阵雨,27,61,Sta1-Sta159,7
2020-06-14,7,6,1,多云,27,44,Sta1-Sta159,7
2020-06-15,1,6,0,多云,26,79,Sta1-Sta159,7
2020-06-16,2,6,0,小雨,24,82,Sta1-Sta159,7
2020-06-17,3,6,0,小雨,24,83,Sta1-Sta159,7
2020-06-18,4,6,0,多云,26,84,Sta1-Sta159,7
2020-06-19,5,6,0,多云,25,82,Sta1-Sta159,7
2020-06-20,6,6,1,阵雨,24,40,Sta1-Sta159,7
2020-06-21,7,6,1,阵雨,24,45,Sta1-Sta159,7
2020-06-22,1,6,0,阵雨,25,79,Sta1-Sta159,7
2020-06-23,2,6,0,阵雨,26,94,Sta1-Sta159,7
2020-06-24,3,6,0,晴,28,84,Sta1-Sta159,7
2020-06-25,4,6,0,多云,28,70,Sta1-Sta159,7
2020-06-26,5,6,0,阵雨,25,51,Sta1-Sta159,7
2020-06-27,6,6,1,阵雨,25,37,Sta1-Sta159,7
2020-06-28,7,6,1,阴,27,96,Sta1-Sta159,7
2020-06-29,1,6,0,多云,27,87,Sta1-Sta159,7
2020-06-30,2,6,0,多云,28,95,Sta1-Sta159,7
2020-07-01,3,7,0,暴雨,24,24,Sta1-Sta159,7
2020-07-02,4,7,0,多云,27,66,Sta1-Sta159,7
2020-07-03,5,7,0,多云,27,52,Sta1-Sta159,7
2020-07-04,6,7,1,阵雨,25,38,Sta1-Sta159,7
2020-07-05,7,7,1,阴,26,37,Sta1-Sta159,7
2020-07-06,1,7,0,阴,26,67,Sta1-Sta159,7
2020-07-07,2,7,0,多云,28,66,Sta1-Sta159,7
2020-07-08,3,7,0,阵雨,28,74,Sta1-Sta159,7
2020-07-09,4,7,0,阵雨,27,77,Sta1-Sta159,7
2020-07-10,5,7,0,阵雨,23,99,Sta1-Sta159,7
2020-07-11,6,7,1,阴,25,37,Sta1-Sta159,7
2020-07-12,7,7,1,多云,26,53,Sta1-Sta159,7
2020-07-13,1,7,0,阵雨,26,74,Sta1-Sta159,7
2020-07-14,2,7,0,小雨,27,79,Sta1-Sta159,7
2020-07-15,3,7,0,大雨,25,88,Sta1-Sta159,7
2020-07-16,4,7,0,阵雨,25,67,Sta1-Sta159,7
2020-07-17,5,7,0,阴,28,0,Sta1-Sta159,7
2020-07-18,6,7,1,阵雨,27,0,Sta1-Sta159,7
2020-07-19,7,7,1,多云,27,0,Sta1-Sta159,7
2020-07-20,1,7,0,阴,24,0,Sta1-Sta159,7
2020-07-21,2,7,0,阵雨,22,0,Sta1-Sta159,7
2020-07-22,3,7,0,阵雨,25,0,Sta1-Sta159,7
2020-07-23,4,7,0,阵雨,26,0,Sta1-Sta159,7
2020-05-01,5,5,1,多云,24,47,Sta159-Sta108,7
2020-05-02,6,5,1,晴,26,32,Sta159-Sta108,7
2020-05-03,7,5,1,多云,27,30,Sta159-Sta108,7
2020-05-04,1,5,1,多云,26,34,Sta159-Sta108,7
2020-05-05,2,5,0,多云,26,36,Sta159-Sta108,7
2020-05-06,3,5,0,多云,25,80,Sta159-Sta108,7
2020-05-07,4,5,0,中雨,23,78,Sta159-Sta108,7
2020-05-08,5,5,0,阴,21,81,Sta159-Sta108,7
2020-05-09,6,5,1,多云,19,83,Sta159-Sta108,7
2020-05-10,7,5,1,多云,22,32,Sta159-Sta108,7
2020-05-11,1,5,0,多云,21,100,Sta159-Sta108,7
2020-05-12,2,5,0,阴,20,84,Sta159-Sta108,7
2020-05-13,3,5,0,多云,20,76,Sta159-Sta108,7
2020-05-14,4,5,0,多云,22,90,Sta159-Sta108,7
2020-05-15,5,5,0,多云,24,101,Sta159-Sta108,7
2020-05-16,6,5,1,多云,25,46,Sta159-Sta108,7
2020-05-17,7,5,1,晴,27,38,Sta159-Sta108,7
2020-05-18,1,5,0,多云,27,90,Sta159-Sta108,7
2020-05-19,2,5,0,多云,25,88,Sta159-Sta108,7
2020-05-20,3,5,0,多云,24,94,Sta159-Sta108,7
2020-05-21,4,5,0,小雨,22,80,Sta159-Sta108,7
2020-05-22,5,5,0,阴,25,94,Sta159-Sta108,7
2020-05-23,6,5,1,多云,25,44,Sta159-Sta108,7
2020-05-24,7,5,1,小雨,18,31,Sta159-Sta108,7
2020-05-25,1,5,0,阴,21,90,Sta159-Sta108,7
2020-05-26,2,5,0,阴,21,78,Sta159-Sta108,7
2020-05-27,3,5,0,阴,19,79,Sta159-Sta108,7
2020-05-28,4,5,0,多云,20,89,Sta159-Sta108,7
2020-05-29,5,5,0,晴,23,85,Sta159-Sta108,7
2020-05-30,6,5,1,多云,24,58,Sta159-Sta108,7
2020-05-31,7,5,1,多云,25,37,Sta159-Sta108,7
2020-06-01,1,6,0,阵雨,23,99,Sta159-Sta108,7
2020-06-02,2,6,0,多云,21,81,Sta159-Sta108,7
2020-06-03,3,6,0,多云,23,89,Sta159-Sta108,7
2020-06-04,4,6,0,多云,24,76,Sta159-Sta108,7
2020-06-05,5,6,0,多云,27,95,Sta159-Sta108,7
2020-06-06,6,6,1,阴,25,60,Sta159-Sta108,7
2020-06-07,7,6,1,阵雨,25,40,Sta159-Sta108,7
2020-06-08,1,6,1,阵雨,22,85,Sta159-Sta108,7
2020-06-09,2,6,1,多云,25,74,Sta159-Sta108,7
2020-06-10,3,6,0,多云,24,85,Sta159-Sta108,7
2020-06-11,4,6,0,阴,25,81,Sta159-Sta108,7
2020-06-12,5,6,0,阴,27,88,Sta159-Sta108,7
2020-06-13,6,6,1,阵雨,27,57,Sta159-Sta108,7
2020-06-14,7,6,1,多云,27,42,Sta159-Sta108,7
2020-06-15,1,6,0,多云,26,84,Sta159-Sta108,7
2020-06-16,2,6,0,小雨,24,86,Sta159-Sta108,7
2020-06-17,3,6,0,小雨,24,86,Sta159-Sta108,7
2020-06-18,4,6,0,多云,26,90,Sta159-Sta108,7
2020-06-19,5,6,0,多云,25,84,Sta159-Sta108,7
2020-06-20,6,6,1,阵雨,24,41,Sta159-Sta108,7
2020-06-21,7,6,1,阵雨,24,49,Sta159-Sta108,7
2020-06-22,1,6,0,阵雨,25,82,Sta159-Sta108,7
2020-06-23,2,6,0,阵雨,26,95,Sta159-Sta108,7
2020-06-24,3,6,0,晴,28,88,Sta159-Sta108,7
2020-06-25,4,6,0,多云,28,72,Sta159-Sta108,7
2020-06-26,5,6,0,阵雨,25,48,Sta159-Sta108,7
2020-06-27,6,6,1,阵雨,25,30,Sta159-Sta108,7
2020-06-28,7,6,1,阴,27,101,Sta159-Sta108,7
2020-06-29,1,6,0,多云,27,91,Sta159-Sta108,7
2020-06-30,2,6,0,多云,28,100,Sta159-Sta108,7
2020-07-01,3,7,0,暴雨,24,26,Sta159-Sta108,7
2020-07-02,4,7,0,多云,27,66,Sta159-Sta108,7
2020-07-03,5,7,0,多云,27,52,Sta159-Sta108,7
2020-07-04,6,7,1,阵雨,25,38,Sta159-Sta108,7
2020-07-05,7,7,1,阴,26,37,Sta159-Sta108,7
2020-07-06,1,7,0,阴,26,67,Sta159-Sta108,7
2020-07-07,2,7,0,多云,28,66,Sta159-Sta108,7
2020-07-08,3,7,0,阵雨,28,74,Sta159-Sta108,7
2020-07-09,4,7,0,阵雨,27,76,Sta159-Sta108,7
2020-07-10,5,7,0,阵雨,23,96,Sta159-Sta108,7
2020-07-11,6,7,1,阴,25,32,Sta159-Sta108,7
2020-07-12,7,7,1,多云,26,49,Sta159-Sta108,7
2020-07-13,1,7,0,阵雨,26,73,Sta159-Sta108,7
2020-07-14,2,7,0,小雨,27,81,Sta159-Sta108,7
2020-07-15,3,7,0,大雨,25,87,Sta159-Sta108,7
2020-07-16,4,7,0,阵雨,25,69,Sta159-Sta108,7
2020-07-17,5,7,0,阴,28,0,Sta159-Sta108,7
2020-07-18,6,7,1,阵雨,27,0,Sta159-Sta108,7
2020-07-19,7,7,1,多云,27,0,Sta159-Sta108,7
2020-07-20,1,7,0,阴,24,0,Sta159-Sta108,7
2020-07-21,2,7,0,阵雨,22,0,Sta159-Sta108,7
2020-07-22,3,7,0,阵雨,25,0,Sta159-Sta108,7
2020-07-23,4,7,0,阵雨,26,0,Sta159-Sta108,7
2020-05-01,5,5,1,多云,24,45,Sta108-Sta68,7
2020-05-02,6,5,1,晴,26,32,Sta108-Sta68,7
2020-05-03,7,5,1,多云,27,32,Sta108-Sta68,7
2020-05-04,1,5,1,多云,26,39,Sta108-Sta68,7
2020-05-05,2,5,0,多云,26,41,Sta108-Sta68,7
2020-05-06,3,5,0,多云,25,82,Sta108-Sta68,7
2020-05-07,4,5,0,中雨,23,74,Sta108-Sta68,7
2020-05-08,5,5,0,阴,21,74,Sta108-Sta68,7
2020-05-09,6,5,1,多云,19,74,Sta108-Sta68,7
2020-05-10,7,5,1,多云,22,32,Sta108-Sta68,7
2020-05-11,1,5,0,多云,21,87,Sta108-Sta68,7
2020-05-12,2,5,0,阴,20,77,Sta108-Sta68,7
2020-05-13,3,5,0,多云,20,72,Sta108-Sta68,7
2020-05-14,4,5,0,多云,22,89,Sta108-Sta68,7
2020-05-15,5,5,0,多云,24,94,Sta108-Sta68,7
2020-05-16,6,5,1,多云,25,46,Sta108-Sta68,7
2020-05-17,7,5,1,晴,27,40,Sta108-Sta68,7
2020-05-18,1,5,0,多云,27,87,Sta108-Sta68,7
2020-05-19,2,5,0,多云,25,88,Sta108-Sta68,7
2020-05-20,3,5,0,多云,24,96,Sta108-Sta68,7
2020-05-21,4,5,0,小雨,22,76,Sta108-Sta68,7
2020-05-22,5,5,0,阴,25,87,Sta108-Sta68,7
2020-05-23,6,5,1,多云,25,43,Sta108-Sta68,7
2020-05-24,7,5,1,小雨,18,31,Sta108-Sta68,7
2020-05-25,1,5,0,阴,21,87,Sta108-Sta68,7
2020-05-26,2,5,0,阴,21,74,Sta108-Sta68,7
2020-05-27,3,5,0,阴,19,72,Sta108-Sta68,7
2020-05-28,4,5,0,多云,20,80,Sta108-Sta68,7
2020-05-29,5,5,0,晴,23,80,Sta108-Sta68,7
2020-05-30,6,5,1,多云,24,57,Sta108-Sta68,7
2020-05-31,7,5,1,多云,25,35,Sta108-Sta68,7
2020-06-01,1,6,0,阵雨,23,93,Sta108-Sta68,7
2020-06-02,2,6,0,多云,21,77,Sta108-Sta68,7
2020-06-03,3,6,0,多云,23,85,Sta108-Sta68,7
2020-06-04,4,6,0,多云,24,70,Sta108-Sta68,7
2020-06-05,5,6,0,多云,27,92,Sta108-Sta68,7
2020-06-06,6,6,1,阴,25,57,Sta108-Sta68,7
2020-06-07,7,6,1,阵雨,25,38,Sta108-Sta68,7
2020-06-08,1,6,1,阵雨,22,78,Sta108-Sta68,7
2020-06-09,2,6,1,多云,25,69,Sta108-Sta68,7
2020-06-10,3,6,0,多云,24,75,Sta108-Sta68,7
2020-06-11,4,6,0,阴,25,75,Sta108-Sta68,7
2020-06-12,5,6,0,阴,27,88,Sta108-Sta68,7
2020-06-13,6,6,1,阵雨,27,57,Sta108-Sta68,7
2020-06-14,7,6,1,多云,27,42,Sta108-Sta68,7
2020-06-15,1,6,0,多云,26,86,Sta108-Sta68,7
2020-06-16,2,6,0,小雨,24,93,Sta108-Sta68,7
2020-06-17,3,6,0,小雨,24,84,Sta108-Sta68,7
2020-06-18,4,6,0,多云,26,95,Sta108-Sta68,7
2020-06-19,5,6,0,多云,25,84,Sta108-Sta68,7
2020-06-20,6,6,1,阵雨,24,47,Sta108-Sta68,7
2020-06-21,7,6,1,阵雨,24,50,Sta108-Sta68,7
2020-06-22,1,6,0,阵雨,25,88,Sta108-Sta68,7
2020-06-23,2,6,0,阵雨,26,93,Sta108-Sta68,7
2020-06-24,3,6,0,晴,28,88,Sta108-Sta68,7
2020-06-25,4,6,0,多云,28,77,Sta108-Sta68,7
2020-06-26,5,6,0,阵雨,25,46,Sta108-Sta68,7
2020-06-27,6,6,1,阵雨,25,33,Sta108-Sta68,7
2020-06-28,7,6,1,阴,27,104,Sta108-Sta68,7
2020-06-29,1,6,0,多云,27,88,Sta108-Sta68,7
2020-06-30,2,6,0,多云,28,103,Sta108-Sta68,7
2020-07-01,3,7,0,暴雨,24,23,Sta108-Sta68,7
2020-07-02,4,7,0,多云,27,62,Sta108-Sta68,7
2020-07-03,5,7,0,多云,27,56,Sta108-Sta68,7
2020-07-04,6,7,1,阵雨,25,42,Sta108-Sta68,7
2020-07-05,7,7,1,阴,26,37,Sta108-Sta68,7
2020-07-06,1,7,0,阴,26,73,Sta108-Sta68,7
2020-07-07,2,7,0,多云,28,66,Sta108-Sta68,7
2020-07-08,3,7,0,阵雨,28,85,Sta108-Sta68,7
2020-07-09,4,7,0,阵雨,27,81,Sta108-Sta68,7
2020-07-10,5,7,0,阵雨,23,105,Sta108-Sta68,7
2020-07-11,6,7,1,阴,25,33,Sta108-Sta68,7
2020-07-12,7,7,1,多云,26,44,Sta108-Sta68,7
2020-07-13,1,7,0,阵雨,26,78,Sta108-Sta68,7
2020-07-14,2,7,0,小雨,27,92,Sta108-Sta68,7
2020-07-15,3,7,0,大雨,25,92,Sta108-Sta68,7
2020-07-16,4,7,0,阵雨,25,76,Sta108-Sta68,7
2020-07-17,5,7,0,阴,28,0,Sta108-Sta68,7
2020-07-18,6,7,1,阵雨,27,0,Sta108-Sta68,7
2020-07-19,7,7,1,多云,27,0,Sta108-Sta68,7
2020-07-20,1,7,0,阴,24,0,Sta108-Sta68,7
2020-07-21,2,7,0,阵雨,22,0,Sta108-Sta68,7
2020-07-22,3,7,0,阵雨,25,0,Sta108-Sta68,7
2020-07-23,4,7,0,阵雨,26,0,Sta108-Sta68,7
2020-05-01,5,5,1,多云,24,26,Sta68-Sta83,7
2020-05-02,6,5,1,晴,26,40,Sta68-Sta83,7
2020-05-03,7,5,1,多云,27,30,Sta68-Sta83,7
2020-05-04,1,5,1,多云,26,32,Sta68-Sta83,7
2020-05-05,2,5,0,多云,26,33,Sta68-Sta83,7
2020-05-06,3,5,0,多云,25,80,Sta68-Sta83,7
2020-05-07,4,5,0,中雨,23,71,Sta68-Sta83,7
2020-05-08,5,5,0,阴,21,65,Sta68-Sta83,7
2020-05-09,6,5,1,多云,19,67,Sta68-Sta83,7
2020-05-10,7,5,1,多云,22,34,Sta68-Sta83,7
2020-05-11,1,5,0,多云,21,82,Sta68-Sta83,7
2020-05-12,2,5,0,阴,20,67,Sta68-Sta83,7
2020-05-13,3,5,0,多云,20,70,Sta68-Sta83,7
2020-05-14,4,5,0,多云,22,84,Sta68-Sta83,7
2020-05-15,5,5,0,多云,24,90,Sta68-Sta83,7
2020-05-16,6,5,1,多云,25,43,Sta68-Sta83,7
2020-05-17,7,5,1,晴,27,28,Sta68-Sta83,7
2020-05-18,1,5,0,多云,27,92,Sta68-Sta83,7
2020-05-19,2,5,0,多云,25,79,Sta68-Sta83,7
2020-05-20,3,5,0,多云,24,87,Sta68-Sta83,7
2020-05-21,4,5,0,小雨,22,75,Sta68-Sta83,7
2020-05-22,5,5,0,阴,25,67,Sta68-Sta83,7
2020-05-23,6,5,1,多云,25,39,Sta68-Sta83,7
2020-05-24,7,5,1,小雨,18,24,Sta68-Sta83,7
2020-05-25,1,5,0,阴,21,77,Sta68-Sta83,7
2020-05-26,2,5,0,阴,21,68,Sta68-Sta83,7
2020-05-27,3,5,0,阴,19,72,Sta68-Sta83,7
2020-05-28,4,5,0,多云,20,84,Sta68-Sta83,7
2020-05-29,5,5,0,晴,23,86,Sta68-Sta83,7
2020-05-30,6,5,1,多云,24,55,Sta68-Sta83,7
2020-05-31,7,5,1,多云,25,26,Sta68-Sta83,7
2020-06-01,1,6,0,阵雨,23,94,Sta68-Sta83,7
2020-06-02,2,6,0,多云,21,83,Sta68-Sta83,7
2020-06-03,3,6,0,多云,23,87,Sta68-Sta83,7
2020-06-04,4,6,0,多云,24,77,Sta68-Sta83,7
2020-06-05,5,6,0,多云,27,80,Sta68-Sta83,7
2020-06-06,6,6,1,阴,25,52,Sta68-Sta83,7
2020-06-07,7,6,1,阵雨,25,35,Sta68-Sta83,7
2020-06-08,1,6,1,阵雨,22,75,Sta68-Sta83,7
2020-06-09,2,6,1,多云,25,75,Sta68-Sta83,7
2020-06-10,3,6,0,多云,24,72,Sta68-Sta83,7
2020-06-11,4,6,0,阴,25,92,Sta68-Sta83,7
2020-06-12,5,6,0,阴,27,89,Sta68-Sta83,7
2020-06-13,6,6,1,阵雨,27,50,Sta68-Sta83,7
2020-06-14,7,6,1,多云,27,42,Sta68-Sta83,7
2020-06-15,1,6,0,多云,26,97,Sta68-Sta83,7
2020-06-16,2,6,0,小雨,24,89,Sta68-Sta83,7
2020-06-17,3,6,0,小雨,24,93,Sta68-Sta83,7
2020-06-18,4,6,0,多云,26,90,Sta68-Sta83,7
2020-06-19,5,6,0,多云,25,87,Sta68-Sta83,7
2020-06-20,6,6,1,阵雨,24,52,Sta68-Sta83,7
2020-06-21,7,6,1,阵雨,24,36,Sta68-Sta83,7
2020-06-22,1,6,0,阵雨,25,77,Sta68-Sta83,7
2020-06-23,2,6,0,阵雨,26,86,Sta68-Sta83,7
2020-06-24,3,6,0,晴,28,84,Sta68-Sta83,7
2020-06-25,4,6,0,多云,28,61,Sta68-Sta83,7
2020-06-26,5,6,0,阵雨,25,53,Sta68-Sta83,7
2020-06-27,6,6,1,阵雨,25,27,Sta68-Sta83,7
2020-06-28,7,6,1,阴,27,85,Sta68-Sta83,7
2020-06-29,1,6,0,多云,27,80,Sta68-Sta83,7
2020-06-30,2,6,0,多云,28,96,Sta68-Sta83,7
2020-07-01,3,7,0,暴雨,24,24,Sta68-Sta83,7
2020-07-02,4,7,0,多云,27,50,Sta68-Sta83,7
2020-07-03,5,7,0,多云,27,61,Sta68-Sta83,7
2020-07-04,6,7,1,阵雨,25,40,Sta68-Sta83,7
2020-07-05,7,7,1,阴,26,41,Sta68-Sta83,7
2020-07-06,1,7,0,阴,26,67,Sta68-Sta83,7
2020-07-07,2,7,0,多云,28,78,Sta68-Sta83,7
2020-07-08,3,7,0,阵雨,28,74,Sta68-Sta83,7
2020-07-09,4,7,0,阵雨,27,71,Sta68-Sta83,7
2020-07-10,5,7,0,阵雨,23,87,Sta68-Sta83,7
2020-07-11,6,7,1,阴,25,50,Sta68-Sta83,7
2020-07-12,7,7,1,多云,26,40,Sta68-Sta83,7
2020-07-13,1,7,0,阵雨,26,89,Sta68-Sta83,7
2020-07-14,2,7,0,小雨,27,95,Sta68-Sta83,7
2020-07-15,3,7,0,大雨,25,71,Sta68-Sta83,7
2020-07-16,4,7,0,阵雨,25,67,Sta68-Sta83,7
2020-07-17,5,7,0,阴,28,0,Sta68-Sta83,7
2020-07-18,6,7,1,阵雨,27,0,Sta68-Sta83,7
2020-07-19,7,7,1,多云,27,0,Sta68-Sta83,7
2020-07-20,1,7,0,阴,24,0,Sta68-Sta83,7
2020-07-21,2,7,0,阵雨,22,0,Sta68-Sta83,7
2020-07-22,3,7,0,阵雨,25,0,Sta68-Sta83,7
2020-07-23,4,7,0,阵雨,26,0,Sta68-Sta83,7
2020-05-01,5,5,1,多云,24,30,Sta83-Sta107,7
2020-05-02,6,5,1,晴,26,41,Sta83-Sta107,7
2020-05-03,7,5,1,多云,27,31,Sta83-Sta107,7
2020-05-04,1,5,1,多云,26,35,Sta83-Sta107,7
2020-05-05,2,5,0,多云,26,36,Sta83-Sta107,7
2020-05-06,3,5,0,多云,25,86,Sta83-Sta107,7
2020-05-07,4,5,0,中雨,23,82,Sta83-Sta107,7
2020-05-08,5,5,0,阴,21,83,Sta83-Sta107,7
2020-05-09,6,5,1,多云,19,80,Sta83-Sta107,7
2020-05-10,7,5,1,多云,22,36,Sta83-Sta107,7
2020-05-11,1,5,0,多云,21,88,Sta83-Sta107,7
2020-05-12,2,5,0,阴,20,76,Sta83-Sta107,7
2020-05-13,3,5,0,多云,20,77,Sta83-Sta107,7
2020-05-14,4,5,0,多云,22,89,Sta83-Sta107,7
2020-05-15,5,5,0,多云,24,99,Sta83-Sta107,7
2020-05-16,6,5,1,多云,25,45,Sta83-Sta107,7
2020-05-17,7,5,1,晴,27,31,Sta83-Sta107,7
2020-05-18,1,5,0,多云,27,97,Sta83-Sta107,7
2020-05-19,2,5,0,多云,25,87,Sta83-Sta107,7
2020-05-20,3,5,0,多云,24,91,Sta83-Sta107,7
2020-05-21,4,5,0,小雨,22,86,Sta83-Sta107,7
2020-05-22,5,5,0,阴,25,74,Sta83-Sta107,7
2020-05-23,6,5,1,多云,25,43,Sta83-Sta107,7
2020-05-24,7,5,1,小雨,18,24,Sta83-Sta107,7
2020-05-25,1,5,0,阴,21,88,Sta83-Sta107,7
2020-05-26,2,5,0,阴,21,78,Sta83-Sta107,7
2020-05-27,3,5,0,阴,19,86,Sta83-Sta107,7
2020-05-28,4,5,0,多云,20,95,Sta83-Sta107,7
2020-05-29,5,5,0,晴,23,91,Sta83-Sta107,7
2020-05-30,6,5,1,多云,24,61,Sta83-Sta107,7
2020-05-31,7,5,1,多云,25,27,Sta83-Sta107,7
2020-06-01,1,6,0,阵雨,23,105,Sta83-Sta107,7
2020-06-02,2,6,0,多云,21,96,Sta83-Sta107,7
2020-06-03,3,6,0,多云,23,95,Sta83-Sta107,7
2020-06-04,4,6,0,多云,24,85,Sta83-Sta107,7
2020-06-05,5,6,0,多云,27,88,Sta83-Sta107,7
2020-06-06,6,6,1,阴,25,54,Sta83-Sta107,7
2020-06-07,7,6,1,阵雨,25,35,Sta83-Sta107,7
2020-06-08,1,6,1,阵雨,22,86,Sta83-Sta107,7
2020-06-09,2,6,1,多云,25,82,Sta83-Sta107,7
2020-06-10,3,6,0,多云,24,84,Sta83-Sta107,7
2020-06-11,4,6,0,阴,25,101,Sta83-Sta107,7
2020-06-12,5,6,0,阴,27,98,Sta83-Sta107,7
2020-06-13,6,6,1,阵雨,27,50,Sta83-Sta107,7
2020-06-14,7,6,1,多云,27,44,Sta83-Sta107,7
2020-06-15,1,6,0,多云,26,109,Sta83-Sta107,7
2020-06-16,2,6,0,小雨,24,96,Sta83-Sta107,7
2020-06-17,3,6,0,小雨,24,105,Sta83-Sta107,7
2020-06-18,4,6,0,多云,26,97,Sta83-Sta107,7
2020-06-19,5,6,0,多云,25,95,Sta83-Sta107,7
2020-06-20,6,6,1,阵雨,24,62,Sta83-Sta107,7
2020-06-21,7,6,1,阵雨,24,42,Sta83-Sta107,7
2020-06-22,1,6,0,阵雨,25,89,Sta83-Sta107,7
2020-06-23,2,6,0,阵雨,26,97,Sta83-Sta107,7
2020-06-24,3,6,0,晴,28,99,Sta83-Sta107,7
2020-06-25,4,6,0,多云,28,62,Sta83-Sta107,7
2020-06-26,5,6,0,阵雨,25,52,Sta83-Sta107,7
2020-06-27,6,6,1,阵雨,25,31,Sta83-Sta107,7
2020-06-28,7,6,1,阴,27,99,Sta83-Sta107,7
2020-06-29,1,6,0,多云,27,88,Sta83-Sta107,7
2020-06-30,2,6,0,多云,28,102,Sta83-Sta107,7
2020-07-01,3,7,0,暴雨,24,24,Sta83-Sta107,7
2020-07-02,4,7,0,多云,27,49,Sta83-Sta107,7
2020-07-03,5,7,0,多云,27,62,Sta83-Sta107,7
2020-07-04,6,7,1,阵雨,25,41,Sta83-Sta107,7
2020-07-05,7,7,1,阴,26,41,Sta83-Sta107,7
2020-07-06,1,7,0,阴,26,72,Sta83-Sta107,7
2020-07-07,2,7,0,多云,28,79,Sta83-Sta107,7
2020-07-08,3,7,0,阵雨,28,81,Sta83-Sta107,7
2020-07-09,4,7,0,阵雨,27,75,Sta83-Sta107,7
2020-07-10,5,7,0,阵雨,23,95,Sta83-Sta107,7
2020-07-11,6,7,1,阴,25,51,Sta83-Sta107,7
2020-07-12,7,7,1,多云,26,40,Sta83-Sta107,7
2020-07-13,1,7,0,阵雨,26,92,Sta83-Sta107,7
2020-07-14,2,7,0,小雨,27,90,Sta83-Sta107,7
2020-07-15,3,7,0,大雨,25,71,Sta83-Sta107,7
2020-07-16,4,7,0,阵雨,25,73,Sta83-Sta107,7
2020-07-17,5,7,0,阴,28,0,Sta83-Sta107,7
2020-07-18,6,7,1,阵雨,27,0,Sta83-Sta107,7
2020-07-19,7,7,1,多云,27,0,Sta83-Sta107,7
2020-07-20,1,7,0,阴,24,0,Sta83-Sta107,7
2020-07-21,2,7,0,阵雨,22,0,Sta83-Sta107,7
2020-07-22,3,7,0,阵雨,25,0,Sta83-Sta107,7
2020-07-23,4,7,0,阵雨,26,0,Sta83-Sta107,7
2020-05-01,5,5,1,多云,24,32,Sta107-Sta96,7
2020-05-02,6,5,1,晴,26,43,Sta107-Sta96,7
2020-05-03,7,5,1,多云,27,33,Sta107-Sta96,7
2020-05-04,1,5,1,多云,26,38,Sta107-Sta96,7
2020-05-05,2,5,0,多云,26,39,Sta107-Sta96,7
2020-05-06,3,5,0,多云,25,96,Sta107-Sta96,7
2020-05-07,4,5,0,中雨,23,90,Sta107-Sta96,7
