sta_id,sta_name,line,area,category
1147 ,Sta91,12号线,Dist6,住宅区
1145 ,Sta92,12号线,Dist6,住宅区
1144 ,Sta93,12号线,Dist6,住宅区
1157 ,Sta94,10号线,Dist5,中心商业区
1143 ,Sta95,12号线,Dist5,住宅区
1100 ,Sta96,5号线,Dist5,商业区
1016 ,Sta97,1号线,Dist3,中心商业区
1174 ,Sta98,3号线,Dist8,中心商业区
1129 ,Sta99,11号线,Dist10,住宅区
1070 ,Sta100,3号线,Dist5,商业区
1139 ,Sta101,12号线,Dist8,住宅区
1162 ,Sta102,10号线,Dist5,仓储区
1154 ,Sta103,10号线,Dist5,商业区
1170 ,Sta104,1号线,Dist1,住宅区
1045 ,Sta105,2号线,Dist4,文教区
1018 ,Sta106,1号线,Dist3,住宅区
1010 ,Sta107,1号线,Dist2,中心商业区
1008 ,Sta108,1号线,Dist1,综合区
1082 ,Sta109,3号线,Dist5,风景区
1017 ,Sta110,1号线,Dist3,住宅区
1191 ,Sta111,11号线,Dist5,住宅区
1085 ,Sta112,3号线,Dist5,风景区
1073 ,Sta113,3号线,Dist5,风景区
1185 ,Sta114,10号线,Dist5,商业区
1177 ,Sta115,11号线,Dist5,中心商业区
1169 ,Sta116,12号线,Dist6,住宅区
1078 ,Sta117,3号线,Dist5,风景区
1118 ,Sta118,11号线,Dist5,中心商业区
1052 ,Sta119,3号线,Dist7,卫星城
1108 ,Sta120,11号线,Dist6,工业区
1088 ,Sta121,3号线,Dist5,风景区
1126 ,Sta122,11号线,Dist10,住宅区
1032 ,Sta123,2号线,Dist2,中心商业区
1130 ,Sta124,11号线,Dist10,住宅区
1087 ,Sta125,3号线,Dist5,风景区
1065 ,Sta126,3号线,Dist1,商业区
1033 ,Sta127,2号线,Dist2,中心商业区
1020 ,Sta128,1号线,Dist3,住宅区
1170 ,Sta129,2号线,Dist1,综合区
1109 ,Sta130,11号线,Dist6,工业区
1068 ,Sta131,3号线,Dist5,住宅区
1101 ,Sta132,5号线,Dist5,商业区
1057 ,Sta133,3号线,Dist6,仓储区
1091 ,Sta134,10号线,Dist5,商业区
1186 ,Sta135,10号线,Dist5,商业区
1137 ,Sta136,12号线,Dist3,住宅区
1138 ,Sta137,12号线,Dist3,住宅区
1059 ,Sta138,3号线,Dist6,仓储区
1043 ,Sta139,2号线,Dist5,文教区
1124 ,Sta140,11号线,Dist5,住宅区
1074 ,Sta141,3号线,Dist5,风景区
1075 ,Sta142,3号线,Dist5,风景区
1048 ,Sta143,3号线,Dist7,卫星城
1063 ,Sta144,3号线,Dist6,中心商业区
1155 ,Sta145,10号线,Dist5,商业区
1110 ,Sta146,11号线,Dist6,工业区
1079 ,Sta147,3号线,Dist5,风景区
1173 ,Sta148,12号线,Dist2,文教区
1022 ,Sta149,1号线,Dist3,住宅区
1012 ,Sta150,1号线,Dist3,中心商业区
1037 ,Sta151,2号线,Dist2,仓储区
1134 ,Sta152,11号线,Dist1,工业区
1086 ,Sta153,3号线,Dist5,风景区
1011 ,Sta154,1号线,Dist3,住宅区
1172 ,Sta155,3号线,Dist7,卫星城
1049 ,Sta156,3号线,Dist7,卫星城
1149 ,Sta157,10号线,Dist8,商业区
1076 ,Sta158,3号线,Dist5,风景区
1006 ,Sta159,1号线,Dist1,综合区
1158 ,Sta160,10号线,Dist5,中心商业区
1055 ,Sta161,3号线,Dist7,仓储区
1117 ,Sta162,11号线,Dist5,住宅区
1026 ,Sta163,2号线,Dist1,综合区
1133 ,Sta164,11号线,Dist5,工业区
1095 ,Sta165,4号线,Dist8,商业区
1128 ,Sta166,11号线,Dist10,住宅区
1072 ,Sta167,3号线,Dist5,商业区
1150 ,Sta168,10号线,Dist5,商业区
